DMS_ID	MSA_path	perc_cov50	Neff/L
A0A3G4RHW3_ATRBE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A0A3G4RHW3_ATRBE/A0A3G4RHW3_ATRBE_b08/align/A0A3G4RHW3_ATRBE_b08.a2m	0.9821	1.265
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b01/align/AMFR_HUMAN_b01.a2m	0.7872	60.181
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b02/align/AMFR_HUMAN_b02.a2m	0.7872	58.075
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b09/align/A4_HUMAN_b09.a2m	0.961	0.053
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b04/align/AMFR_HUMAN_b04.a2m	0.7872	22.132
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b04/align/A4_HUMAN_b04.a2m	0.9623	0.089
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b08/align/A4_HUMAN_b08.a2m	0.9623	0.059
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b07/align/A4_HUMAN_b07.a2m	0.9623	0.058
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b06/align/A4_HUMAN_b06.a2m	0.9584	0.06
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b05/align/ARGR_ECO55_b05.a2m	0.8986	49.139
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b04/align/ARGR_ECO55_b04.a2m	0.913	49.148
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b05/align/A4_HUMAN_b05.a2m	0.961	0.061
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b03/align/A4_HUMAN_b03.a2m	0.9623	0.12
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b01/align/A4_HUMAN_b01.a2m	0.9636	0.127
A0A3G4RHW3_ATRBE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A0A3G4RHW3_ATRBE/A0A3G4RHW3_ATRBE_b07/align/A0A3G4RHW3_ATRBE_b07.a2m	0.9668	3.688
A4_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A4_HUMAN/A4_HUMAN_b02/align/A4_HUMAN_b02.a2m	0.9636	0.133
AICDA_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AICDA_HUMAN/AICDA_HUMAN_b01/align/AICDA_HUMAN_b01.a2m	0.7576	14.5
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b09/align/ACE2_HUMAN_b09.a2m	0.7267	0.743
AMFR_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/AMFR_HUMAN/AMFR_HUMAN_b03/align/AMFR_HUMAN_b03.a2m	0.8723	72.523
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b01/align/ARGR_ECO55_b01.a2m	0.8116	136.262
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b08/align/ACE2_HUMAN_b08.a2m	0.728	1.024
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b07/align/ACE2_HUMAN_b07.a2m	0.7255	1.071
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b06/align/ACE2_HUMAN_b06.a2m	0.7267	1.123
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b05/align/ACE2_HUMAN_b05.a2m	0.7292	1.249
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b04/align/ACE2_HUMAN_b04.a2m	0.7292	1.278
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b03/align/ACE2_HUMAN_b03.a2m	0.728	1.33
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b01/align/ACE2_HUMAN_b01.a2m	0.7292	1.373
ACE2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ACE2_HUMAN/ACE2_HUMAN_b02/align/ACE2_HUMAN_b02.a2m	0.7292	1.376
A0A3G4RHW3_ATRBE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A0A3G4RHW3_ATRBE/A0A3G4RHW3_ATRBE_b06/align/A0A3G4RHW3_ATRBE_b06.a2m	0.9133	11.73
A0A3G4RHW3_ATRBE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A0A3G4RHW3_ATRBE/A0A3G4RHW3_ATRBE_b05/align/A0A3G4RHW3_ATRBE_b05.a2m	0.9133	12.263
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b08/align/B2L11_HUMAN_b08.a2m	0.9596	0.115
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b09/align/B2L11_HUMAN_b09.a2m	0.9596	0.113
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b07/align/B2L11_HUMAN_b07.a2m	0.9596	0.115
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b06/align/B2L11_HUMAN_b06.a2m	0.9596	0.208
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b04/align/B2L11_HUMAN_b04.a2m	0.9444	0.452
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b05/align/B2L11_HUMAN_b05.a2m	0.9646	0.369
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b06/align/ARGR_ECO55_b06.a2m	0.8841	46.245
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b03/align/B2L11_HUMAN_b03.a2m	0.9848	0.566
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b02/align/B2L11_HUMAN_b02.a2m	0.9798	0.554
B2L11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B2L11_HUMAN/B2L11_HUMAN_b01/align/B2L11_HUMAN_b01.a2m	0.9899	1.012
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b09/align/ARGR_ECO55_b09.a2m	1.0	1.884
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b08/align/ARGR_ECO55_b08.a2m	0.942	4.849
ARGR_ECO55	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARGR_ECO55/ARGR_ECO55_b07/align/ARGR_ECO55_b07.a2m	0.8696	41.446
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b09/align/ARRS_BOVIN_b09.a2m	0.9307	0.683
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b06/align/ARRB1_HUMAN_b06.a2m	0.9067	0.896
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b05/align/ARRB1_HUMAN_b05.a2m	0.9019	0.913
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b04/align/ARRB1_HUMAN_b04.a2m	0.9043	0.918
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b03/align/ARRB1_HUMAN_b03.a2m	0.9019	0.915
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b02/align/ARRB1_HUMAN_b02.a2m	0.8995	0.952
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b01/align/ARRB1_HUMAN_b01.a2m	0.9163	0.971
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b08/align/ARRS_BOVIN_b08.a2m	0.9282	0.771
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b09/align/ARRB1_HUMAN_b09.a2m	0.9043	0.652
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b08/align/ARRB1_HUMAN_b08.a2m	0.9091	0.722
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b07/align/ARRS_BOVIN_b07.a2m	0.9307	0.902
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b06/align/ARRS_BOVIN_b06.a2m	0.9332	0.917
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b05/align/ARRS_BOVIN_b05.a2m	0.9307	0.934
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b04/align/ARRS_BOVIN_b04.a2m	0.9307	0.946
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b03/align/ARRS_BOVIN_b03.a2m	0.9282	0.946
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b02/align/ARRS_BOVIN_b02.a2m	0.9307	0.975
ARRB1_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRB1_HUMAN/ARRB1_HUMAN_b07/align/ARRB1_HUMAN_b07.a2m	0.9091	0.857
ARRS_BOVIN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/ARRS_BOVIN/ARRS_BOVIN_b01/align/ARRS_BOVIN_b01.a2m	0.9406	1.004
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b08/align/BRCA2_HUMAN_b08.a2m	0.9971	0.019
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b09/align/BCHB_CHLTE_b09.a2m	0.9615	22.718
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b09/align/BRCA2_HUMAN_b09.a2m	0.9924	0.016
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b08/align/BCHB_CHLTE_b08.a2m	0.9423	27.385
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b09/align/BRCA2_HUMAN_387_2655_b09.a2m	0.9925	0.022
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b07/align/BRCA2_HUMAN_387_2655_b07.a2m	0.9925	0.023
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b08/align/BRCA2_HUMAN_387_2655_b08.a2m	0.9925	0.022
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b06/align/BRCA2_HUMAN_b06.a2m	0.9962	0.022
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b02/align/BRCA2_HUMAN_b02.a2m	0.9965	0.023
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b07/align/BCHB_CHLTE_b07.a2m	0.9423	30.815
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b03/align/BRCA2_HUMAN_b03.a2m	0.9953	0.022
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b06/align/BCHB_CHLTE_b06.a2m	0.9038	31.328
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b06/align/BRCA2_HUMAN_387_2655_b06.a2m	0.9974	0.03
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b04/align/BRCA2_HUMAN_b04.a2m	0.9962	0.023
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b05/align/BCHB_CHLTE_b05.a2m	0.9038	36.283
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b01/align/BRCA2_HUMAN_387_2655_b01.a2m	0.9947	0.042
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b05/align/BRCA2_HUMAN_b05.a2m	0.9962	0.023
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b04/align/BCHB_CHLTE_b04.a2m	0.8846	44.203
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b07/align/BRCA2_HUMAN_b07.a2m	0.9886	0.025
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b05/align/BRCA2_HUMAN_387_2655_b05.a2m	0.9912	0.043
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b04/align/BRCA2_HUMAN_387_2655_b04.a2m	0.9885	0.043
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b03/align/BRCA2_HUMAN_387_2655_b03.a2m	0.9938	0.044
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b03/align/BCHB_CHLTE_b03.a2m	0.8654	51.307
BRCA2_HUMAN_387_2655	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655/BRCA2_HUMAN_387_2655_b02/align/BRCA2_HUMAN_387_2655_b02.a2m	0.9943	0.043
BRCA2_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN/BRCA2_HUMAN_b01/align/BRCA2_HUMAN_b01.a2m	0.9862	0.029
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b02/align/BCHB_CHLTE_b02.a2m	0.8269	71.969
A0A3G4RHW3_ATRBE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/A0A3G4RHW3_ATRBE/A0A3G4RHW3_ATRBE_b04/align/A0A3G4RHW3_ATRBE_b04.a2m	0.8954	14.381
BCHB_CHLTE	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BCHB_CHLTE/BCHB_CHLTE_b01/align/BCHB_CHLTE_b01.a2m	0.7885	104.538
B3VI55_LIPST	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/B3VI55_LIPST/B3VI55_LIPST_b09/align/B3VI55_LIPST_b09.a2m	0.836	6.408
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b08/align/BRCA2_HUMAN_387_2655_V2_b08.a2m	0.9925	0.022
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b07/align/BRCA2_HUMAN_387_2655_V2_b07.a2m	0.9925	0.023
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b09/align/BRCA2_HUMAN_387_2655_V2_b09.a2m	0.9925	0.022
BRCA2_HUMAN_387_2655_V2	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/BRCA2_HUMAN_387_2655_V2/BRCA2_HUMAN_387_2655_V2_b06/align/BRCA2_HUMAN_387_2655_V2_b06.a2m	0.9978	0.027
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b09/align/CAR11_HUMAN_b09.a2m	0.9974	0.035
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b08/align/CAR11_HUMAN_b08.a2m	0.9974	0.038
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b07/align/CAR11_HUMAN_b07.a2m	0.9974	0.037
CAR11_HUMAN	/n/groups/marks/projects/marks_lab_and_oatml/ProteinGym/EVCouplings/EVCouplings_runs/alignment_runs/CAR11_HUMAN/CAR11_HUMAN_b06/align/CAR11_HUMAN_b06.a2m	0.9974	0.043
