protein_name,msa_location,theta,file_size
OTC_HUMAN,OTC_HUMAN_b02.a2m,0.2,50.1916
OTC_HUMAN,OTC_HUMAN_b03.a2m,0.2,50.1228
OTC_HUMAN,OTC_HUMAN_b04.a2m,0.2,50.0263
OTC_HUMAN,OTC_HUMAN_b05.a2m,0.2,49.7434
OTC_HUMAN,OTC_HUMAN_b06.a2m,0.2,28.2939
OTC_HUMAN,OTC_HUMAN_b07.a2m,0.2,24.4026
OTC_HUMAN,OTC_HUMAN_b08.a2m,0.2,24.0602
OTC_HUMAN,OTC_HUMAN_b09.a2m,0.2,22.837
CASP3_HUMAN,CASP3_HUMAN_b01.a2m,0.2,23.9581
NUSG_MYCTU,NUSG_MYCTU_b01.a2m,0.2,15.3286
NUSG_MYCTU,NUSG_MYCTU_b02.a2m,0.2,9.9873
Q837P4_ENTFA,Q837P4_ENTFA_b04.a2m,0.2,534.5908
Q837P4_ENTFA,Q837P4_ENTFA_b05.a2m,0.2,474.9499
Q837P4_ENTFA,Q837P4_ENTFA_b06.a2m,0.2,429.5043
Q837P4_ENTFA,Q837P4_ENTFA_b07.a2m,0.2,330.7435
Q837P4_ENTFA,Q837P4_ENTFA_b08.a2m,0.2,294.4028
Q837P4_ENTFA,Q837P4_ENTFA_b09.a2m,0.2,205.6518
VILI_CHICK,VILI_CHICK_b01.a2m,0.2,23.3832
PITX2_HUMAN,PITX2_HUMAN_b03.a2m,0.2,28.8753
PITX2_HUMAN,PITX2_HUMAN_b04.a2m,0.2,27.4553
PITX2_HUMAN,PITX2_HUMAN_b05.a2m,0.2,26.2099
PITX2_HUMAN,PITX2_HUMAN_b06.a2m,0.2,23.1178
PITX2_HUMAN,PITX2_HUMAN_b07.a2m,0.2,20.4271
PITX2_HUMAN,PITX2_HUMAN_b08.a2m,0.2,17.1507
PITX2_HUMAN,PITX2_HUMAN_b09.a2m,0.2,15.1509
PHOT_CHLRE,PHOT_CHLRE_b02.a2m,0.2,234.1653
PHOT_CHLRE,PHOT_CHLRE_b03.a2m,0.2,165.0462
PHOT_CHLRE,PHOT_CHLRE_b04.a2m,0.2,59.0144
PHOT_CHLRE,PHOT_CHLRE_b05.a2m,0.2,23.7197
PHOT_CHLRE,PHOT_CHLRE_b06.a2m,0.2,15.4922
SPTN1_CHICK,SPTN1_CHICK_b01.a2m,0.2,37.1619
SPTN1_CHICK,SPTN1_CHICK_b02.a2m,0.2,35.9853
SPTN1_CHICK,SPTN1_CHICK_b03.a2m,0.2,37.1854
SPTN1_CHICK,SPTN1_CHICK_b04.a2m,0.2,33.5271
SPTN1_CHICK,SPTN1_CHICK_b05.a2m,0.2,28.4369
SPTN1_CHICK,SPTN1_CHICK_b06.a2m,0.2,24.113
ODP2_GEOSE,ODP2_GEOSE_b01.a2m,0.2,15.2175
ODP2_GEOSE,ODP2_GEOSE_b02.a2m,0.2,13.6173
ODP2_GEOSE,ODP2_GEOSE_b03.a2m,0.2,13.5848
ODP2_GEOSE,ODP2_GEOSE_b04.a2m,0.2,12.4956
ODP2_GEOSE,ODP2_GEOSE_b05.a2m,0.2,12.4333
ODP2_GEOSE,ODP2_GEOSE_b06.a2m,0.2,12.2255
ODP2_GEOSE,ODP2_GEOSE_b07.a2m,0.2,11.8939
ODP2_GEOSE,ODP2_GEOSE_b08.a2m,0.2,11.5591
ODP2_GEOSE,ODP2_GEOSE_b09.a2m,0.2,10.7417
MYO3_YEAST,MYO3_YEAST_b01.a2m,0.2,66.4221
MYO3_YEAST,MYO3_YEAST_b02.a2m,0.2,67.4347
MYO3_YEAST,MYO3_YEAST_b03.a2m,0.2,64.8016
MYO3_YEAST,MYO3_YEAST_b04.a2m,0.2,60.4624
MYO3_YEAST,MYO3_YEAST_b05.a2m,0.2,56.4374
MYO3_YEAST,MYO3_YEAST_b06.a2m,0.2,49.7782
MYO3_YEAST,MYO3_YEAST_b07.a2m,0.2,39.4502
MYO3_YEAST,MYO3_YEAST_b08.a2m,0.2,27.0703
PAI1_HUMAN,PAI1_HUMAN_b01.a2m,0.2,23.7024
PAI1_HUMAN,PAI1_HUMAN_b02.a2m,0.2,23.5519
PAI1_HUMAN,PAI1_HUMAN_b03.a2m,0.2,23.3494
PAI1_HUMAN,PAI1_HUMAN_b04.a2m,0.2,22.7867
PAI1_HUMAN,PAI1_HUMAN_b05.a2m,0.2,21.9223
PAI1_HUMAN,PAI1_HUMAN_b06.a2m,0.2,20.7518
PAI1_HUMAN,PAI1_HUMAN_b07.a2m,0.2,18.3438
SPA_STAAU,SPA_STAAU_b01.a2m,0.2,13.1077
SPA_STAAU,SPA_STAAU_b03.a2m,0.2,17.9409
SPA_STAAU,SPA_STAAU_b04.a2m,0.2,15.9682
OTU7A_HUMAN,OTU7A_HUMAN_b02.a2m,0.2,95.0989
OTU7A_HUMAN,OTU7A_HUMAN_b03.a2m,0.2,23.4056
Q53Z42_HUMAN,Q53Z42_HUMAN_b01.a2m,0.2,15.8234
Q53Z42_HUMAN,Q53Z42_HUMAN_b02.a2m,0.2,15.7098
Q53Z42_HUMAN,Q53Z42_HUMAN_b03.a2m,0.2,15.6755
Q53Z42_HUMAN,Q53Z42_HUMAN_b04.a2m,0.2,15.5422
SAV1_MOUSE,SAV1_MOUSE_b01.a2m,0.2,14.2123
SAV1_MOUSE,SAV1_MOUSE_b02.a2m,0.2,14.2065
SAV1_MOUSE,SAV1_MOUSE_b03.a2m,0.2,13.656
SAV1_MOUSE,SAV1_MOUSE_b04.a2m,0.2,14.0125
SAV1_MOUSE,SAV1_MOUSE_b05.a2m,0.2,14.2886
SAV1_MOUSE,SAV1_MOUSE_b06.a2m,0.2,12.682
SAV1_MOUSE,SAV1_MOUSE_b07.a2m,0.2,11.49
SAV1_MOUSE,SAV1_MOUSE_b08.a2m,0.2,10.8113
SAV1_MOUSE,SAV1_MOUSE_b09.a2m,0.2,8.6852
UBE4B_MOUSE,UBE4B_MOUSE_b01.a2m,0.2,29.2502
UBE4B_MOUSE,UBE4B_MOUSE_b02.a2m,0.2,29.2232
UBE4B_MOUSE,UBE4B_MOUSE_b03.a2m,0.2,29.206
UBE4B_MOUSE,UBE4B_MOUSE_b04.a2m,0.2,29.5642
UBE4B_MOUSE,UBE4B_MOUSE_b05.a2m,0.2,19.8238
CBX4_HUMAN,CBX4_HUMAN_b01.a2m,0.2,8.1908
PPARG_HUMAN,PPARG_HUMAN_b01.a2m,0.2,27.596
PPARG_HUMAN,PPARG_HUMAN_b02.a2m,0.2,25.6819
PPARG_HUMAN,PPARG_HUMAN_b03.a2m,0.2,22.1803
PPARG_HUMAN,PPARG_HUMAN_b04.a2m,0.2,20.6789
PPARG_HUMAN,PPARG_HUMAN_b07.a2m,0.2,1.6981
MET_HUMAN,MET_HUMAN_b05.a2m,0.2,573.0468
MET_HUMAN,MET_HUMAN_b06.a2m,0.2,334.7398
MET_HUMAN,MET_HUMAN_b07.a2m,0.2,82.4465
MET_HUMAN,MET_HUMAN_b08.a2m,0.2,62.5393
MET_HUMAN,MET_HUMAN_b09.a2m,0.2,57.1374
CCR5_HUMAN,CCR5_HUMAN_b01.a2m,0.2,263.0961
CCR5_HUMAN,CCR5_HUMAN_b02.a2m,0.2,246.5411
CCR5_HUMAN,CCR5_HUMAN_b03.a2m,0.2,233.2841
CCR5_HUMAN,CCR5_HUMAN_b04.a2m,0.2,122.3611
CCR5_HUMAN,CCR5_HUMAN_b05.a2m,0.2,100.7731
CCR5_HUMAN,CCR5_HUMAN_b06.a2m,0.2,58.0264
CCR5_HUMAN,CCR5_HUMAN_b07.a2m,0.2,28.4489
FECA_ECOLI,FECA_ECOLI_b01.a2m,0.2,14.5509
FECA_ECOLI,FECA_ECOLI_b02.a2m,0.2,15.6316
FECA_ECOLI,FECA_ECOLI_b03.a2m,0.2,13.5801
FECA_ECOLI,FECA_ECOLI_b04.a2m,0.2,7.8534
HSP82_YEAST,HSP82_YEAST_b01.a2m,0.2,34.6988
HSP82_YEAST,HSP82_YEAST_b02.a2m,0.2,32.8392
HSP82_YEAST,HSP82_YEAST_b03.a2m,0.2,32.0876
HSP82_YEAST,HSP82_YEAST_b04.a2m,0.2,32.6761
HSP82_YEAST,HSP82_YEAST_b05.a2m,0.2,27.9738
HSP82_YEAST,HSP82_YEAST_b06.a2m,0.2,17.7693
SRBS1_HUMAN,SRBS1_HUMAN_b01.a2m,0.2,69.6668
SRBS1_HUMAN,SRBS1_HUMAN_b02.a2m,0.2,69.933
SRBS1_HUMAN,SRBS1_HUMAN_b03.a2m,0.2,67.1642
SRBS1_HUMAN,SRBS1_HUMAN_b04.a2m,0.2,63.287
SRBS1_HUMAN,SRBS1_HUMAN_b05.a2m,0.2,57.4881
SRBS1_HUMAN,SRBS1_HUMAN_b06.a2m,0.2,45.2757
SRBS1_HUMAN,SRBS1_HUMAN_b07.a2m,0.2,34.2891
SRBS1_HUMAN,SRBS1_HUMAN_b08.a2m,0.2,23.3251
RASK_HUMAN,RASK_HUMAN_b02.a2m,0.2,261.9853
RASK_HUMAN,RASK_HUMAN_b03.a2m,0.2,54.7409
RASK_HUMAN,RASK_HUMAN_b04.a2m,0.2,45.4618
RASK_HUMAN,RASK_HUMAN_b05.a2m,0.2,39.4865
RASK_HUMAN,RASK_HUMAN_b06.a2m,0.2,37.1115
RASK_HUMAN,RASK_HUMAN_b07.a2m,0.2,34.1876
RASK_HUMAN,RASK_HUMAN_b08.a2m,0.2,25.2951
RNC_ECOLI,RNC_ECOLI_b01.a2m,0.2,18.1277
RNC_ECOLI,RNC_ECOLI_b02.a2m,0.2,18.0538
RNC_ECOLI,RNC_ECOLI_b03.a2m,0.2,17.7011
RNC_ECOLI,RNC_ECOLI_b04.a2m,0.2,17.2037
RNC_ECOLI,RNC_ECOLI_b05.a2m,0.2,17.0808
RNC_ECOLI,RNC_ECOLI_b06.a2m,0.2,16.4074
RNC_ECOLI,RNC_ECOLI_b07.a2m,0.2,14.3055
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b01.a2m,0.01,73.6953
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b02.a2m,0.01,73.6936
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b03.a2m,0.01,73.6901
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b04.a2m,0.01,73.6961
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b05.a2m,0.01,73.6953
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b06.a2m,0.01,73.6918
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b07.a2m,0.01,73.6867
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b08.a2m,0.01,73.6748
Q2N0S5_9HIV1,Q2N0S5_9HIV1_b09.a2m,0.01,64.2015
RAD_ANTMA,RAD_ANTMA_b01.a2m,0.2,34.3004
RAD_ANTMA,RAD_ANTMA_b02.a2m,0.2,32.9808
RAD_ANTMA,RAD_ANTMA_b03.a2m,0.2,23.9541
RAD_ANTMA,RAD_ANTMA_b04.a2m,0.2,19.926
RAD_ANTMA,RAD_ANTMA_b05.a2m,0.2,11.0358
EPHB2_HUMAN,EPHB2_HUMAN_b01.a2m,0.2,25.6076
EPHB2_HUMAN,EPHB2_HUMAN_b02.a2m,0.2,27.0121
EPHB2_HUMAN,EPHB2_HUMAN_b03.a2m,0.2,23.6607
EPHB2_HUMAN,EPHB2_HUMAN_b04.a2m,0.2,19.9165
EPHB2_HUMAN,EPHB2_HUMAN_b05.a2m,0.2,14.6092
EPHB2_HUMAN,EPHB2_HUMAN_b06.a2m,0.2,8.3643
RPC1_BP434,RPC1_BP434_b03.a2m,0.01,100.2957
RPC1_BP434,RPC1_BP434_b04.a2m,0.01,87.9438
RPC1_BP434,RPC1_BP434_b05.a2m,0.01,71.0402
RPC1_BP434,RPC1_BP434_b06.a2m,0.01,53.0289
RPC1_BP434,RPC1_BP434_b07.a2m,0.01,41.4252
RPC1_BP434,RPC1_BP434_b08.a2m,0.01,24.9026
